peak_name,year,season,termination_reason,highpoint_metres,members,member_deaths,hired_staff,hired_staff_deaths,oxygen_used
Annapurna II,1960,Spring,Success (main peak),7937.0,10,0,9,0,True
Annapurna II,1969,Autumn,Success (main peak),7937.0,10,0,0,0,False
Annapurna II,1973,Spring,Success (main peak),7937.0,6,0,8,0,False
Annapurna II,1978,Autumn,"Bad weather (storms, high winds)",7000.0,2,0,0,0,False
Annapurna II,1979,Autumn,"Bad weather (storms, high winds)",7160.0,3,0,0,0,False
Annapurna II,1980,Spring,Accident (death or serious injury),7000.0,6,1,2,0,False
Annapurna II,1980,Spring,Accident (death or serious injury),7250.0,7,0,2,0,False
Annapurna II,1981,Autumn,"Bad weather (storms, high winds)",6400.0,19,0,0,0,False
Annapurna II,1981,Autumn,Accident (death or serious injury),7400.0,9,1,3,0,False
Annapurna II,1982,Autumn,"Bad weather (storms, high winds)",7350.0,5,0,0,0,False
Annapurna II,1983,Spring,Accident (death or serious injury),7450.0,5,1,0,0,False
Annapurna II,1983,Autumn,Success (main peak),7937.0,5,0,3,0,False
Annapurna II,1983,Autumn,"Bad conditions (deep snow, avalanching, falling ice, or rock)",7300.0,6,0,4,0,False
Annapurna II,1983,Winter,"Bad conditions (deep snow, avalanching, falling ice, or rock)",5950.0,4,0,2,0,False
Annapurna II,1984,Spring,"Bad conditions (deep snow, avalanching, falling ice, or rock)",6000.0,3,0,0,0,False
Annapurna II,1984,Autumn,"Bad conditions (deep snow, avalanching, falling ice, or rock)",5100.0,4,0,2,0,False
Annapurna II,1985,Autumn,"Bad weather (storms, high winds)",7020.0,8,0,5,0,False
Annapurna II,1986,Spring,"Bad weather (storms, high winds)",7000.0,7,0,0,0,False
Annapurna II,1986,Spring,"Bad weather (storms, high winds)",7250.0,9,0,0,0,False
Annapurna II,1987,Autumn,"Route technically too difficult, lack of experience, strength, or motivation",7500.0,2,0,0,0,False
Annapurna II,1990,Autumn,"Bad weather (storms, high winds)",7200.0,7,0,4,0,False
Annapurna IV,1950,Summer,"Bad weather (storms, high winds)",7300.0,6,0,5,0,False
Annapurna IV,1952,Autumn,"Bad weather (storms, high winds)",5700.0,6,0,6,0,False
Annapurna IV,1953,Spring,Did not attempt climb,7300.0,2,0,0,0,False
Annapurna IV,1953,Autumn,"Bad weather (storms, high winds)",7100.0,7,0,7,0,False
Annapurna IV,1955,Spring,Success (main peak),7525.0,4,0,2,0,False
Annapurna IV,1957,Spring,Success (main peak),7525.0,2,0,4,0,False
Annapurna IV,1960,Spring,Success (main peak),7525.0,4,0,3,0,False
Annapurna IV,1969,Autumn,Success (main peak),7525.0,9,0,1,0,False
Annapurna IV,1969,Autumn,Success (main peak),7525.0,10,0,0,0,False
Annapurna IV,1970,Spring,Success (main peak),7525.0,8,0,6,0,False
Annapurna IV,1974,Spring,Success (main peak),7525.0,4,0,5,0,False
Annapurna IV,1978,Spring,Success (main peak),7525.0,7,0,5,0,False
Annapurna IV,1979,Autumn,"Illness, AMS, exhaustion, or frostbite",6900.0,16,0,5,0,False
Annapurna IV,1980,Autumn,Success (main peak),7525.0,14,0,6,0,False
Annapurna IV,1981,Spring,Success (main peak),7525.0,7,0,3,0,False
Annapurna IV,1981,Autumn,"Bad weather (storms, high winds)",7300.0,19,0,0,0,False
Annapurna IV,1981,Winter,Success (main peak),7525.0,8,0,2,0,False
Annapurna IV,1983,Spring,Success (main peak),7525.0,4,0,1,0,False
Annapurna IV,1983,Autumn,Success (main peak),7525.0,15,0,3,0,False
Annapurna IV,1984,Autumn,"Bad weather (storms, high winds)",6400.0,10,0,2,0,False
Annapurna IV,1984,Autumn,Lack (or loss) of supplies or equipment,6800.0,9,0,2,0,False
Annapurna IV,1985,Autumn,"Bad conditions (deep snow, avalanching, falling ice, or rock)",5000.0,15,0,0,1,False
Annapurna IV,1986,Spring,Success (main peak),7525.0,35,0,5,0,False
Annapurna IV,1986,Autumn,Success (main peak),7525.0,9,0,2,0,False
Annapurna IV,1987,Spring,"Bad conditions (deep snow, avalanching, falling ice, or rock)",5700.0,6,0,2,0,False
Annapurna IV,1987,Autumn,"Bad weather (storms, high winds)",6460.0,15,0,2,0,False
Annapurna IV,1987,Autumn,Success (main peak),7525.0,7,0,4,0,False
Annapurna IV,1989,Autumn,Success (main peak),7525.0,9,0,2,0,False
Annapurna IV,1990,Autumn,"Bad conditions (deep snow, avalanching, falling ice, or rock)",6600.0,12,0,5,0,False
Annapurna IV,1990,Autumn,"Bad conditions (deep snow, avalanching, falling ice, or rock)",6800.0,10,0,3,0,False
Annapurna IV,1990,Autumn,Success (main peak),7525.0,8,0,7,0,True
Annapurna IV,1991,Spring,"Bad weather (storms, high winds)",5650.0,6,0,3,0,False
Annapurna IV,1991,Autumn,"Bad weather (storms, high winds)",6480.0,1,0,1,0,False
Annapurna IV,1991,Autumn,"Bad weather (storms, high winds)",7000.0,1,0,5,0,False
Annapurna IV,1991,Autumn,"Bad weather (storms, high winds)",6500.0,9,0,2,0,False
Annapurna IV,1992,Spring,Success (main peak),7525.0,12,0,0,0,True
Annapurna IV,1992,Autumn,Success (main peak),7525.0,6,0,3,0,False
Annapurna IV,1992,Autumn,Success (main peak),7525.0,1,0,4,0,False
Annapurna IV,1992,Autumn,Success (main peak),7525.0,6,0,1,0,False
Annapurna IV,1992,Autumn,"Bad weather (storms, high winds)",6400.0,6,0,5,0,False
Makalu,1988,Spring,Success (main peak),8485.0,1,0,2,0,False
Makalu,1988,Spring,"Bad weather (storms, high winds)",7800.0,9,0,2,0,False
Makalu,1988,Spring,Lack of time,8300.0,9,0,1,0,False
Kangchenjunga,1988,Spring,Success (main peak),8586.0,5,0,2,0,False
Kangchenjunga,1988,Spring,"Bad weather (storms, high winds)",7800.0,4,0,2,0,False
Kangchenjunga,1988,Spring,"Route technically too difficult, lack of experience, strength, or motivation",8450.0,23,1,9,0,True
Makalu,1988,Spring,Did not reach base camp,7300.0,2,0,0,0,False
Ama Dablam,1988,Spring,"Bad conditions (deep snow, avalanching, falling ice, or rock)",5770.0,4,0,2,0,False
Ama Dablam,1988,Spring,"Bad conditions (deep snow, avalanching, falling ice, or rock)",6520.0,6,1,0,0,False
Baruntse,1988,Spring,Lack of time,6500.0,6,0,5,0,False
Baruntse,1988,Spring,"Bad conditions (deep snow, avalanching, falling ice, or rock)",7070.0,10,0,4,0,True
Chamlang,1988,Spring,Success (subpeak),7290.0,6,0,2,0,False
Kusum Kanguru,1988,Spring,Lack of time,6300.0,6,0,0,0,False
Lhotse Shar,1988,Spring,"Bad weather (storms, high winds)",7400.0,5,0,1,0,False
Cho Oyu,1988,Spring,Lack (or loss) of supplies or equipment,7600.0,5,0,6,0,False
Cho Oyu,1988,Spring,"Bad weather (storms, high winds)",7600.0,2,0,0,0,False
Cho Oyu,1988,Spring,Success (main peak),8188.0,4,1,0,0,False
Cho Oyu,1988,Spring,Success (main peak),8188.0,6,0,1,0,False
Cho Oyu,1988,Spring,Success (main peak),8188.0,8,0,4,0,False
Cho Oyu,1988,Spring,Success (main peak),8188.0,27,0,0,0,False
Kangtega,1988,Spring,"Bad conditions (deep snow, avalanching, falling ice, or rock)",6100.0,3,0,0,0,False
Pumori,1988,Spring,Success (main peak),7138.0,4,1,0,0,False
Pumori,1988,Spring,Success (main peak),7138.0,7,0,4,0,False
Tawoche,1988,Spring,"Bad weather (storms, high winds)",6400.0,4,0,0,0,False
Annapurna South,1988,Spring,Lack (or loss) of supplies or equipment,6100.0,4,0,0,0,False
Annapurna I,1988,Spring,Success (main peak),8091.0,7,0,4,0,False
Annapurna I,1988,Spring,Did not reach base camp,7300.0,5,0,0,0,False
Churen Himal East,1988,Spring,Success (main peak),7371.0,7,1,2,0,False
Ganesh II,1988,Spring,"Bad conditions (deep snow, avalanching, falling ice, or rock)",6100.0,4,0,0,0,False
Manaslu,1988,Spring,"Bad conditions (deep snow, avalanching, falling ice, or rock)",5400.0,2,0,0,0,False
Manaslu,1988,Spring,"Bad conditions (deep snow, avalanching, falling ice, or rock)",7050.0,8,0,1,0,False
Manaslu,1988,Spring,Success (main peak),8163.0,7,0,0,0,False
Putha Hiunchuli,1988,Spring,"Bad conditions (deep snow, avalanching, falling ice, or rock)",6300.0,9,0,1,0,False
Changtse,1988,Spring,Other,7100.0,5,0,0,0,True
Ama Dablam,1988,Winter,Success (main peak),6814.0,3,0,1,0,False
Ama Dablam,1988,Winter,Success (main peak),6814.0,16,0,9,0,False
Annapurna I,1988,Winter,"Bad conditions (deep snow, avalanching, falling ice, or rock)",6800.0,8,0,2,0,False
Cho Oyu,1988,Winter,"Bad weather (storms, high winds)",5700.0,2,0,1,0,False
Nemjung,1988,Winter,"Bad weather (storms, high winds)",6650.0,8,0,2,0,False
Langtang Lirung,1988,Winter,Success (main peak),7227.0,5,0,3,0,False
Tawoche,1988,Winter,Success (main peak),6495.0,2,0,1,0,False
Thamserku,1988,Winter,"Route technically too difficult, lack of experience, strength, or motivation",5790.0,3,0,2,0,False
Nuptse,1988,Winter,Success (subpeak),7784.0,11,0,7,0,False
Yalung Kang,1988,Winter,"Bad weather (storms, high winds)",7200.0,7,0,0,0,False
Changtse,1988,Summer,Success (main peak),7583.0,16,0,0,0,False
Cho Oyu,1988,Summer,Success (main peak),8188.0,2,0,0,0,False
Everest,1988,Winter,Accident (death or serious injury),8700.0,17,0,10,1,True
Lhotse,1988,Winter,Success (main peak),8516.0,5,0,0,0,True
Everest,1988,Winter,"Bad weather (storms, high winds)",7800.0,11,0,7,0,False
Langtang Ri,1983,Autumn,Success (main peak),7205.0,6,0,3,0,False
Dhaulagiri I,1983,Autumn,"Bad weather (storms, high winds)",7700.0,15,1,4,0,False
Dhaulagiri I,1983,Autumn,Success (main peak),8167.0,2,0,0,0,False
Dhaulagiri I,1983,Autumn,"Bad conditions (deep snow, avalanching, falling ice, or rock)",6020.0,7,0,0,0,False
